;Cluster_menor;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
609;C2;Nao_branca;Fundamental;Zero;E1
610;C2;Nao_branca;Fundamental;Zero;E1
612;C2;Nao_branca;Fundamental;Zero;E1
613;C2;Nao_branca;Fundamental;Zero;D1
614;C2;Nao_branca;Fundamental;Zero;E1
615;C2;Nao_branca;Fundamental;Um;E1
616;C2;Nao_branca;Fundamental;Zero;E1
617;C2;Nao_branca;Fundamental;Zero;E1
618;C2;Nao_branca;Fundamental;Zero;E1
619;C2;Nao_branca;Fundamental;Zero;E1
621;C2;Nao_branca;Fundamental;Zero;E1
622;C2;Nao_branca;Fundamental;Zero;E1
623;C3;Nao_branca;Medio;Um;E1
624;C2;Nao_branca;Fundamental;Zero;E1
625;C1;Branca;Fundamental;Um;E1
626;C2;Nao_branca;Fundamental;Zero;E1
628;C4;Nao_branca;Superior;Zero;E1
629;C1;Branca;Superior;Zero;D1
630;C2;Nao_branca;Fundamental;Zero;E1
631;C3;Nao_branca;Medio;Zero;E1
633;C2;Nao_branca;NuncaEstudou;Zero;E1
634;C4;Nao_branca;Superior;Zero;C1
635;C1;Branca;Medio;Zero;E1
636;C2;Nao_branca;Fundamental;Um;E1
638;C2;Nao_branca;Fundamental;Zero;E1
639;C4;Nao_branca;Superior;Um;E1
640;C2;Nao_branca;Fundamental;Zero;E1
641;C1;Branca;Fundamental;Zero;E1
642;C2;Nao_branca;Fundamental;Zero;E1
643;C2;Nao_branca;Fundamental;Zero;E1
644;C1;Branca;Medio;Um;D1
645;C1;Branca;NuncaEstudou;Zero;E1
646;C3;Nao_branca;Medio;Dois;E1
647;C2;Nao_branca;Fundamental;Dois;D1
648;C2;Nao_branca;Fundamental;Zero;D1
649;C2;Nao_branca;Fundamental;Zero;E1
650;C2;Nao_branca;Fundamental;Um;E1
651;C3;Nao_branca;Medio;Zero;E1
652;C1;Branca;Fundamental;Zero;E1
653;C4;Nao_branca;Superior;Um;D1
654;C1;Branca;Fundamental;Zero;E1
655;C3;Nao_branca;Medio;Zero;E1
656;C3;Nao_branca;Medio;Zero;E1
657;C3;Nao_branca;Medio;Um;E1
658;C2;Nao_branca;NuncaEstudou;Zero;E1
659;C2;Nao_branca;Fundamental;Zero;E1
660;C1;Branca;Superior;Dois;C1
661;C1;Branca;Superior;Zero;E1
662;C3;Nao_branca;Medio;Zero;E1
663;C2;Nao_branca;Fundamental;Zero;E1
664;C2;Nao_branca;Fundamental;Zero;E1
665;C2;Nao_branca;Fundamental;Zero;E1
666;C2;Nao_branca;Fundamental;Zero;E1
667;C3;Nao_branca;Medio;Um;D1
668;C2;Nao_branca;Fundamental;Zero;E1
669;C1;Branca;Medio;Zero;E1
670;C3;Nao_branca;Medio;Zero;E1
672;C1;Branca;Superior;Zero;E1
673;C1;Branca;Fundamental;Zero;E1
674;C2;Nao_branca;Fundamental;Zero;E1
676;C4;Nao_branca;Superior;Um;E1
677;C4;Nao_branca;Superior;Zero;E1
678;C4;Nao_branca;Superior;Zero;E1
679;C4;Nao_branca;Superior;Zero;E1
680;C2;Nao_branca;Fundamental;Um;E1
681;C2;Nao_branca;Fundamental;Zero;E1
682;C4;Nao_branca;Superior;Zero;E1
683;C4;Nao_branca;Superior;Um;E1
684;C4;Nao_branca;Superior;Um;E1
685;C2;Nao_branca;Fundamental;Zero;E1
686;C2;Nao_branca;Fundamental;Zero;E1
