;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
597;Branca;Medio;Zero;D
598;Nao_branca;Medio;Zero;E
599;Nao_branca;FundamentalIncompleto;Zero;E
600;Branca;Superior;Zero;E
601;Nao_branca;Superior;Um;C
602;Nao_branca;Superior;Um;E
603;Branca;Superior;Zero;E
604;Branca;FundamentalIncompleto;Um;E
605;Nao_branca;Medio;Zero;E
607;Branca;FundamentalIncompleto;Um;E
608;Nao_branca;Superior;Zero;E
610;Branca;FundamentalCompleto;Zero;E
611;Nao_branca;FundamentalCompleto;Dois;E
613;Nao_branca;FundamentalIncompleto;Zero;E
614;Nao_branca;Medio;Um;E
615;Branca;Superior;Zero;E
616;Nao_branca;Medio;Dois;E
617;Nao_branca;Medio;Zero;E
618;Nao_branca;Medio;Zero;E
619;Nao_branca;FundamentalIncompleto;Zero;E
620;Nao_branca;FundamentalIncompleto;Zero;E
622;Nao_branca;FundamentalCompleto;Um;E
623;Nao_branca;Superior;Zero;E
624;Nao_branca;FundamentalCompleto;Um;C
625;Nao_branca;Medio;Um;E
626;Nao_branca;FundamentalCompleto;Zero;E
630;Nao_branca;FundamentalCompleto;Zero;E
631;Nao_branca;FundamentalIncompleto;Zero;E
632;Nao_branca;FundamentalIncompleto;Zero;E
633;Branca;Medio;Zero;E
634;Nao_branca;Medio;Zero;D
637;Branca;FundamentalIncompleto;Zero;E
638;Nao_branca;FundamentalIncompleto;Zero;E
641;Branca;FundamentalCompleto;Zero;E
642;Nao_branca;FundamentalIncompleto;Zero;E
643;Nao declarado;FundamentalIncompleto;Zero;E
644;Nao_branca;FundamentalIncompleto;Zero;E
646;Branca;FundamentalCompleto;Zero;E
648;Nao_branca;Medio;Zero;E
649;Nao_branca;Superior;Zero;E
651;Nao_branca;Medio;Zero;E
652;Nao_branca;FundamentalCompleto;Zero;E
653;Branca;Superior;Zero;E
655;Nao_branca;Medio;Zero;E
656;Nao_branca;Medio;Um;E
657;Nao_branca;FundamentalCompleto;Zero;E
659;Nao_branca;Medio;Zero;E
660;Nao_branca;FundamentalCompleto;Zero;E
661;Nao_branca;Medio;Zero;E
662;Nao_branca;FundamentalCompleto;Zero;E
663;Branca;FundamentalCompleto;Zero;E
664;Branca;Medio;Um;E
665;Nao_branca;Superior;Um;E
666;Nao_branca;FundamentalCompleto;Zero;E
667;Nao_branca;Superior;Zero;E
668;Nao_branca;FundamentalIncompleto;Zero;E
669;Nao_branca;FundamentalCompleto;Um;E
670;Nao_branca;Medio;Zero;E
671;Branca;Superior;Um;D
672;Nao_branca;FundamentalIncompleto;Um;E
674;Branca;FundamentalCompleto;Zero;E
675;Nao_branca;Medio;Um;D
677;Nao_branca;FundamentalCompleto;Um;E
678;Nao_branca;FundamentalCompleto;Um;E
679;Nao declarado;NuncaEstudou;Zero;E
