;Cluster_menor;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
472;C2;Nao_branca;Fundamental;Zero;E1
473;C3;Nao_branca;Medio;Zero;E1
475;C2;Nao_branca;Fundamental;Zero;E1
476;C2;Nao_branca;NuncaEstudou;Zero;E1
478;C3;Nao_branca;Medio;Um;E1
479;C2;Nao_branca;Fundamental;Zero;E1
481;C2;Nao_branca;Fundamental;Um;E1
482;C2;Nao_branca;Fundamental;Zero;E1
483;C3;Nao_branca;Medio;Zero;E1
484;C2;Nao_branca;Fundamental;Zero;E1
485;C2;Nao_branca;Fundamental;Zero;E1
486;C3;Nao_branca;Medio;Zero;E1
487;C2;Nao_branca;Fundamental;Zero;E1
488;C1;Branca;Superior;Um;D1
490;C2;Nao_branca;Superior;Um;E1
492;C2;Nao_branca;Fundamental;Zero;E1
493;C1;Nao declarado;NuncaEstudou;Zero;E1
494;C3;Nao_branca;Medio;Zero;E1
496;C3;Nao_branca;Medio;Um;E1
497;C2;Nao_branca;Superior;Zero;E1
498;C1;Branca;Medio;Zero;E1
499;C1;Branca;Superior;Zero;E1
500;C2;Nao_branca;Fundamental;Um;E1
501;C2;Nao_branca;Superior;Zero;E1
502;C3;Nao_branca;Medio;Zero;E1
505;C2;Nao_branca;Fundamental;Zero;E1
506;C1;Branca;Medio;Zero;E1
507;C1;Branca;Superior;Zero;E1
508;C1;Branca;Superior;Zero;E1
509;C2;Nao_branca;Superior;Zero;D1
510;C1;Branca;Medio;Zero;E1
512;C3;Nao_branca;Medio;Um;D1
513;C2;Nao_branca;Fundamental;Zero;E1
516;C3;Nao_branca;Medio;Um;D1
517;C1;Branca;Fundamental;Zero;E1
519;C2;Nao_branca;Fundamental;Zero;E1
520;C3;Nao_branca;Medio;Um;E1
521;C2;Nao_branca;Fundamental;Zero;E1
522;C3;Nao_branca;Medio;Zero;E1
524;C3;Nao_branca;Medio;Zero;E1
526;C2;Nao_branca;Fundamental;Zero;E1
527;C2;Nao_branca;Fundamental;Zero;E1
528;C2;Nao_branca;Fundamental;Zero;E1
529;C1;Branca;Fundamental;Zero;E1
530;C2;Nao_branca;Fundamental;Zero;E1
531;C3;Nao_branca;Medio;Zero;E1
532;C1;Branca;Superior;Dois;B1
533;C3;Nao_branca;Medio;Dois;D1
534;C3;Nao_branca;Medio;Zero;D1
535;C2;Nao_branca;Fundamental;Um;E1
537;C1;Branca;Superior;Um;D1
539;C2;Nao_branca;Superior;Zero;D1
540;C2;Nao_branca;Fundamental;Zero;E1
541;C2;Nao_branca;Fundamental;Zero;E1
542;C1;Branca;Fundamental;Zero;E1
543;C3;Nao_branca;Medio;Zero;E1
544;C2;Nao_branca;Fundamental;Zero;E1
545;C3;Nao_branca;Medio;Zero;E1
546;C1;Branca;Fundamental;Zero;E1
547;C2;Nao_branca;Fundamental;Zero;E1
548;C3;Nao_branca;Medio;Um;D1
549;C2;Nao_branca;Superior;Zero;C1
550;C2;Nao_branca;Fundamental;Zero;E1
553;C2;Nao_branca;Superior;Dois;D1
556;C2;Nao_branca;Fundamental;Zero;E1
557;C2;Nao_branca;Fundamental;Zero;D1
558;C2;Nao_branca;Superior;Um;E1
559;C2;Nao_branca;Fundamental;Zero;E1
560;C1;Branca;Medio;Zero;D1
561;C1;Branca;Medio;Zero;E1
562;C2;Nao_branca;Fundamental;Zero;E1
563;C3;Nao_branca;Medio;Zero;E1
564;C2;Nao_branca;Fundamental;Zero;E1
565;C2;Nao_branca;Fundamental;Zero;E1
566;C2;Nao_branca;Superior;Um;E1
567;C2;Nao_branca;NuncaEstudou;Zero;E1
568;C3;Nao_branca;Medio;Zero;E1
569;C3;Nao_branca;Medio;Zero;E1
570;C2;Nao_branca;NuncaEstudou;Zero;E1
571;C3;Nao_branca;Medio;Zero;E1
572;C1;Branca;Medio;Um;E1
573;C1;Branca;Medio;Zero;E1
575;C2;Nao_branca;Fundamental;Zero;E1
576;C1;Branca;Medio;Um;E1
577;C2;Nao_branca;Fundamental;Zero;C1
578;C1;Branca;Fundamental;Zero;E1
579;C3;Nao_branca;Medio;Um;E1
580;C2;Nao_branca;NuncaEstudou;Zero;E1
581;C2;Nao_branca;Fundamental;Zero;E1
582;C2;Nao_branca;Superior;Zero;E1
583;C2;Nao_branca;Superior;Zero;E1
584;C1;Branca;Medio;Zero;E1
586;C2;Nao_branca;Fundamental;Zero;E1
587;C1;Branca;Superior;Um;D1
589;C2;Nao_branca;Fundamental;Zero;E1
590;C2;Nao_branca;Fundamental;Zero;E1
592;C3;Nao_branca;Medio;Zero;E1
593;C3;Nao_branca;Medio;Zero;E1
594;C2;Nao_branca;Fundamental;Zero;E1
595;C2;Nao_branca;Fundamental;Zero;E1
596;C1;Branca;Fundamental;Zero;E1
597;C2;Nao_branca;NuncaEstudou;Zero;E1
598;C2;Nao_branca;Fundamental;Dois;E1
599;C1;Branca;Medio;Zero;E1
600;C1;Branca;Medio;Um;E1
604;C1;Branca;Medio;Um;E1
605;C3;Nao_branca;Medio;Zero;E1
607;C2;Nao_branca;Fundamental;Zero;E1
608;C2;Nao_branca;Fundamental;Zero;E1
609;C3;Nao_branca;Medio;Zero;E1
610;C3;Nao_branca;Medio;Um;E1
611;C2;Nao_branca;Fundamental;Zero;E1
612;C3;Nao_branca;Medio;Um;D1
613;C1;Nao declarado;Superior;Um;D1
614;C3;Nao_branca;Medio;Zero;E1
616;C1;Branca;Medio;Zero;E1
618;C2;Nao_branca;Fundamental;Zero;E1
619;C3;Nao_branca;Medio;Zero;E1
621;C2;Nao_branca;Fundamental;Zero;E1
622;C2;Nao_branca;NuncaEstudou;Zero;E1
623;C2;Nao_branca;Fundamental;Zero;E1
624;C3;Nao_branca;Medio;Um;E1
626;C2;Nao_branca;Superior;Zero;E1
629;C3;Nao_branca;Medio;Um;E1
630;C1;Branca;Medio;Um;E1
632;C3;Nao_branca;Medio;Zero;E1
635;C3;Nao_branca;Medio;Zero;E1
636;C3;Nao_branca;Medio;Zero;E1
637;C2;Nao_branca;Fundamental;Um;E1
638;C2;Nao_branca;Superior;Um;E1
639;C2;Nao_branca;Fundamental;Zero;E1
640;C3;Nao declarado;Medio;Um;E1
641;C3;Nao_branca;Medio;Zero;E1
643;C3;Nao_branca;Medio;Zero;E1
645;C2;Nao_branca;Fundamental;Zero;E1
646;C1;Branca;Medio;Zero;E1
647;C1;Nao declarado;Fundamental;Zero;E1
648;C1;Branca;Medio;Zero;E1
649;C3;Nao_branca;Medio;Zero;E1
651;C2;Nao_branca;Fundamental;Zero;E1
653;C1;Branca;Superior;Um;D1
654;C2;Nao_branca;Fundamental;Zero;E1
655;C3;Nao_branca;Medio;Zero;E1
657;C2;Nao_branca;Fundamental;Zero;E1
659;C2;Nao_branca;Fundamental;Zero;E1
662;C2;Nao_branca;Fundamental;Um;C1
663;C3;Nao_branca;Medio;Zero;D1
664;C1;Branca;Superior;Um;D1
666;C1;Nao declarado;Fundamental;Zero;E1
668;C2;Nao_branca;Fundamental;Zero;E1
669;C3;Nao_branca;Medio;Zero;E1
670;C2;Nao_branca;Superior;Zero;E1
671;C2;Nao_branca;Fundamental;Zero;E1
672;C3;Nao_branca;Medio;Zero;E1
673;C1;Branca;Superior;Zero;E1
675;C3;Nao_branca;Medio;Zero;E1
676;C2;Nao_branca;Superior;Zero;E1
677;C3;Nao_branca;Medio;Zero;E1
678;C1;Branca;Medio;Zero;D1
680;C2;Nao_branca;Fundamental;Zero;E1
681;C1;Branca;Superior;Dois;C1
682;C3;Nao_branca;Medio;Um;E1
683;C2;Nao_branca;Fundamental;Zero;E1
684;C3;Nao_branca;Medio;Zero;E1
686;C2;Nao_branca;Fundamental;Zero;E1
687;C2;Nao_branca;Fundamental;Zero;E1
688;C2;Nao_branca;Fundamental;Zero;E1
690;C1;Branca;Medio;Zero;E1
691;C1;Branca;Fundamental;Zero;E1
692;C3;Nao_branca;Medio;Zero;E1
693;C2;Nao_branca;Superior;Zero;E1
694;C2;Nao_branca;Fundamental;Zero;E1
695;C2;Nao_branca;Fundamental;Zero;E1
696;C2;Nao_branca;Fundamental;Zero;E1
697;C2;Nao_branca;Superior;Dois;E1
698;C2;Nao_branca;Superior;Um;D1
699;C3;Nao_branca;Medio;Zero;E1
700;C2;Nao_branca;Superior;Um;C1
702;C1;Branca;Fundamental;Zero;E1
703;C2;Nao_branca;Fundamental;Zero;E1
704;C3;Nao_branca;Medio;Zero;E1
705;C3;Nao_branca;Medio;Zero;E1
706;C3;Nao_branca;Medio;Zero;E1
707;C3;Nao_branca;Medio;Um;E1
708;C3;Nao_branca;Medio;Zero;E1
709;C3;Nao_branca;Medio;Zero;E1
711;C3;Nao_branca;Medio;Um;E1
712;C2;Nao_branca;Fundamental;Zero;E1
714;C3;Nao_branca;Medio;Zero;E1
717;C3;Nao_branca;Medio;Zero;E1
719;C3;Nao_branca;Medio;Um;D1
721;C2;Nao_branca;Superior;Zero;E1
722;C3;Nao_branca;Medio;Zero;E1
723;C3;Nao_branca;Medio;Zero;E1
724;C2;Nao_branca;Fundamental;Zero;E1
725;C2;Nao_branca;Fundamental;Zero;E1
726;C2;Nao_branca;Fundamental;Zero;E1
727;C2;Nao_branca;Fundamental;Zero;E1
728;C1;Branca;Medio;Zero;E1
730;C3;Nao_branca;Medio;Zero;E1
731;C2;Nao_branca;Fundamental;Zero;E1
732;C2;Nao_branca;Superior;Zero;E1
734;C2;Nao_branca;Superior;Zero;D1
735;C2;Nao_branca;Fundamental;Zero;E1
736;C2;Nao_branca;Superior;Zero;E1
737;C2;Nao_branca;Superior;Zero;E1
740;C2;Nao_branca;Fundamental;Zero;E1
741;C2;Nao_branca;Fundamental;Zero;E1
743;C2;Nao_branca;Fundamental;Zero;E1
744;C2;Nao_branca;Fundamental;Zero;E1
745;C3;Nao_branca;Medio;Zero;E1
746;C2;Nao_branca;Fundamental;Zero;E1
747;C2;Nao_branca;Fundamental;Zero;E1
749;C2;Nao_branca;Fundamental;Zero;E1
750;C3;Nao_branca;Medio;Zero;E1
751;C2;Nao_branca;Fundamental;Zero;E1
752;C3;Nao_branca;Medio;Um;D1
753;C2;Nao_branca;Fundamental;Zero;E1
754;C2;Nao_branca;Fundamental;Um;C1
756;C3;Nao_branca;Medio;Zero;E1
757;C2;Nao_branca;Fundamental;Zero;E1
758;C2;Nao_branca;Fundamental;Zero;E1
759;C2;Nao_branca;NuncaEstudou;Zero;E1
760;C2;Nao_branca;Fundamental;Zero;E1
762;C2;Nao_branca;Superior;Zero;D1
763;C2;Nao_branca;Fundamental;Zero;E1
764;C2;Nao_branca;Fundamental;Zero;E1
765;C3;Nao_branca;Medio;Zero;D1
766;C1;Branca;Fundamental;Zero;E1
767;C3;Nao_branca;Medio;Um;D1
769;C3;Nao_branca;Medio;Zero;E1
770;C2;Nao_branca;NuncaEstudou;Zero;E1
771;C3;Nao_branca;Medio;Zero;E1
772;C1;Branca;Fundamental;Zero;E1
774;C3;Nao_branca;Medio;Um;D1
775;C1;Branca;Fundamental;Um;E1
776;C1;Branca;Fundamental;Zero;E1
777;C2;Nao_branca;Fundamental;Zero;E1
779;C3;Nao_branca;Medio;Zero;E1
781;C3;Nao_branca;Medio;Um;D1
782;C3;Nao_branca;Medio;Zero;E1
