;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
1500;Nao_branca;FundamentalCompleto;Um;E
1501;Branca;Medio;Um;C
1502;Nao_branca;Medio;Dois;C
1507;Branca;Medio;Um;E
1513;Branca;Superior;Dois;D
1514;Nao_branca;FundamentalIncompleto;Zero;E
1516;Nao_branca;Medio;Um;D
1519;Nao_branca;Superior;Um;E
1521;Branca;Medio;Um;D
1528;Branca;Superior;Um;D
1530;Branca;FundamentalCompleto;Um;E
1532;Branca;Medio;Um;E
1533;Branca;Medio;Zero;D
1536;Nao_branca;FundamentalIncompleto;Zero;E
1538;Nao_branca;FundamentalIncompleto;Um;E
1539;Branca;Superior;Um;E
1542;Nao_branca;FundamentalCompleto;Zero;E
1546;Branca;FundamentalIncompleto;Um;E
1548;Branca;Medio;Um;E
1549;Nao_branca;FundamentalIncompleto;Um;E
1550;Nao_branca;Medio;Um;E
1552;Branca;Medio;Um;D
1554;Nao_branca;Medio;Um;E
1556;Nao_branca;FundamentalIncompleto;Um;E
1557;Nao_branca;FundamentalIncompleto;Tres;C
1558;Branca;Medio;Um;C
1559;Nao_branca;Superior;Um;D
1563;Branca;Superior;Um;D
1564;Branca;Medio;Um;C
1566;Branca;FundamentalCompleto;Dois;E
1569;Branca;Medio;Um;E
1570;Branca;Superior;Dois;E
1571;Nao_branca;Superior;Um;E
1576;Branca;Medio;Um;E
1580;Branca;FundamentalIncompleto;Um;E
1581;Branca;Superior;Tres;C
1584;Nao_branca;FundamentalCompleto;Um;D
1585;Nao_branca;Medio;Um;D
1592;Nao_branca;Medio;Zero;E
1593;Branca;Medio;Um;D
1594;Nao_branca;Superior;Um;B
1596;Nao_branca;Medio;Um;D
1597;Branca;FundamentalIncompleto;Tres;D
1603;Branca;FundamentalIncompleto;Um;E
1604;Nao_branca;Medio;Um;E
1615;Nao_branca;FundamentalIncompleto;Um;D
1620;Nao_branca;Medio;Zero;E
1623;Branca;FundamentalIncompleto;Zero;E
1625;Nao_branca;Superior;Dois;E
1626;Nao_branca;FundamentalIncompleto;Um;E
1627;Nao_branca;FundamentalIncompleto;Zero;E
1629;Nao_branca;Medio;Zero;E
1630;Branca;Medio;Um;E
1634;Branca;Superior;Quatro_ou_mais;B
1635;Nao_branca;FundamentalCompleto;Um;C
1636;Branca;Superior;Dois;C
1639;Nao_branca;FundamentalIncompleto;Zero;E
1641;Branca;Superior;Um;C
