ID_MATRICULA;IN_TRANSPORTE_PUBLICO;TP_ETAPA_ENSINO;IN_REGULAR;IN_EJA;CO_ENTIDADE;CO_MUNICIPIO
384225949;1.0;16.0;1.0;0.0;31069078;3138609
384226161;1.0;16.0;1.0;0.0;31069078;3138609
384614062;0.0;2.0;1.0;0.0;31264351;3138609
384622003;1.0;2.0;1.0;0.0;31264351;3138609
384622943;0.0;2.0;1.0;0.0;31264351;3138609
384628663;1.0;2.0;1.0;0.0;31264351;3138609
384633016;0.0;2.0;1.0;0.0;31264351;3138609
384635370;0.0;2.0;1.0;0.0;31264351;3138609
384643380;0.0;2.0;1.0;0.0;31264351;3138609
384659346;0.0;2.0;1.0;0.0;31264351;3138609
384660560;0.0;2.0;1.0;0.0;31264351;3138609
384662337;0.0;2.0;1.0;0.0;31264351;3138609
384672393;1.0;2.0;1.0;0.0;31264351;3138609
384672742;0.0;2.0;1.0;0.0;31264351;3138609
384674032;0.0;2.0;1.0;0.0;31264351;3138609
384674636;0.0;2.0;1.0;0.0;31264351;3138609
384674984;0.0;2.0;1.0;0.0;31264351;3138609
384679204;0.0;2.0;1.0;0.0;31264351;3138609
384680630;0.0;2.0;1.0;0.0;31264351;3138609
384680699;1.0;2.0;1.0;0.0;31264351;3138609
384681938;0.0;2.0;1.0;0.0;31264351;3138609
386052370;0.0;18.0;1.0;0.0;31304981;3138609
386055067;0.0;18.0;1.0;0.0;31304981;3138609
386057090;0.0;18.0;1.0;0.0;31304981;3138609
386065173;0.0;18.0;1.0;0.0;31304981;3138609
386065699;0.0;18.0;1.0;0.0;31304981;3138609
386067274;0.0;18.0;1.0;0.0;31304981;3138609
386068696;0.0;18.0;1.0;0.0;31304981;3138609
386069006;0.0;18.0;1.0;0.0;31304981;3138609
386069292;0.0;18.0;1.0;0.0;31304981;3138609
386071762;0.0;18.0;1.0;0.0;31304981;3138609
386072540;0.0;18.0;1.0;0.0;31304981;3138609
386078168;0.0;18.0;1.0;0.0;31304981;3138609
386081951;0.0;18.0;1.0;0.0;31304981;3138609
386082363;0.0;18.0;1.0;0.0;31304981;3138609
386084882;0.0;18.0;1.0;0.0;31304981;3138609
386085470;0.0;18.0;1.0;0.0;31304981;3138609
386090073;0.0;18.0;1.0;0.0;31304981;3138609
386094023;0.0;18.0;1.0;0.0;31304981;3138609
386094840;0.0;18.0;1.0;0.0;31304981;3138609
386096214;0.0;18.0;1.0;0.0;31304981;3138609
386096677;0.0;18.0;1.0;0.0;31304981;3138609
387976016;0.0;2.0;1.0;0.0;31264351;3138609
388462270;0.0;2.0;1.0;0.0;31264351;3138609
388462430;0.0;2.0;1.0;0.0;31264351;3138609
388466369;0.0;2.0;1.0;0.0;31264351;3138609
388477984;0.0;2.0;1.0;0.0;31264351;3138609
388478189;0.0;2.0;1.0;0.0;31264351;3138609
388482277;0.0;2.0;1.0;0.0;31264351;3138609
388500404;0.0;2.0;1.0;0.0;31264351;3138609
388501636;0.0;2.0;1.0;0.0;31264351;3138609
388504460;0.0;2.0;1.0;0.0;31264351;3138609
388508784;0.0;2.0;1.0;0.0;31264351;3138609
388519554;0.0;2.0;1.0;0.0;31264351;3138609
388521765;0.0;2.0;1.0;0.0;31264351;3138609
388523144;1.0;2.0;1.0;0.0;31264351;3138609
388527715;0.0;2.0;1.0;0.0;31264351;3138609
388530900;0.0;2.0;1.0;0.0;31264351;3138609
388550045;0.0;2.0;1.0;0.0;31264351;3138609
388553300;0.0;2.0;1.0;0.0;31264351;3138609
388583827;0.0;2.0;1.0;0.0;31264351;3138609
388584560;0.0;2.0;1.0;0.0;31264351;3138609
388586522;0.0;2.0;1.0;0.0;31264351;3138609
388591511;0.0;2.0;1.0;0.0;31264351;3138609
388593145;0.0;2.0;1.0;0.0;31264351;3138609
388598719;0.0;2.0;1.0;0.0;31264351;3138609
388600383;0.0;2.0;1.0;0.0;31264351;3138609
388607694;0.0;2.0;1.0;0.0;31264351;3138609
388614273;0.0;2.0;1.0;0.0;31264351;3138609
388614846;1.0;2.0;1.0;0.0;31264351;3138609
388645179;1.0;2.0;1.0;0.0;31264351;3138609
388657196;0.0;2.0;1.0;0.0;31264351;3138609
388657596;0.0;2.0;1.0;0.0;31264351;3138609
388659514;0.0;2.0;1.0;0.0;31264351;3138609
388703106;0.0;2.0;1.0;0.0;31264351;3138609
388712945;0.0;2.0;1.0;0.0;31264351;3138609
388757566;0.0;19.0;1.0;0.0;31304981;3138609
388758310;0.0;19.0;1.0;0.0;31304981;3138609
388759920;0.0;19.0;1.0;0.0;31304981;3138609
388760586;0.0;19.0;1.0;0.0;31304981;3138609
388762771;0.0;19.0;1.0;0.0;31304981;3138609
388763913;0.0;19.0;1.0;0.0;31304981;3138609
