;Unnamed: 0;NU_INSCRICAO;TP_SEXO;TP_COR_RACA;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;NO_MUNICIPIO_PROVA;CO_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
8862;1246802;210051672220;F;3;2;0;2;1.0;0;2101202.0;Bacabal;MA;2.0;1.0;1.0;Bacabal;21;1;1;1;1;355.9;402.3;420.7;373.3;1;6.0;0.0;0.0;0.0;0.0;0.0;0.0;H;H;C;B;4.0;A;A;B;D;A;A;B;B;A;A;A;A;A;B;A;A;B;A;A;A
8863;1246820;210051227958;F;3;2;0;2;1.0;0;2111003.0;SÃ£o JoÃ£o Batista;MA;2.0;1.0;1.0;SÃ£o Vicente Ferrer;21;1;1;1;1;381.0;417.3;347.3;390.8;1;1.0;80.0;120.0;80.0;100.0;0.0;380.0;A;A;A;A;6.0;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A
8864;1246862;210053559268;M;1;2;0;2;1.0;0;2108207.0;Pedreiras;MA;2.0;1.0;1.0;Pedreiras;21;1;1;1;1;471.4;621.6;610.6;426.5;0;1.0;120.0;40.0;120.0;100.0;60.0;440.0;G;E;E;D;2.0;C;A;C;C;A;B;B;A;B;A;B;A;A;C;A;A;C;A;A;B
8865;1247001;210052948660;M;3;2;0;2;1.0;0;2100055.0;AÃ§ailÃ¢ndia;MA;1.0;1.0;1.0;Imperatriz;21;1;1;1;1;567.8;588.1;536.7;551.9;0;1.0;100.0;40.0;40.0;100.0;40.0;320.0;B;G;F;D;3.0;G;A;B;C;B;B;B;B;B;A;A;A;A;B;A;A;C;A;C;B
8866;1247005;210052561751;F;3;2;0;2;1.0;0;2111201.0;SÃ£o JosÃ© de Ribamar;MA;1.0;1.0;1.0;PaÃ§o do Lumiar;21;1;1;1;1;495.5;531.0;424.2;530.9;0;1.0;120.0;120.0;120.0;100.0;100.0;560.0;B;E;A;A;5.0;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
8867;1247121;210054090207;F;3;2;0;2;1.0;0;2101400.0;Balsas;MA;4.0;1.0;1.0;Balsas;21;1;1;1;1;606.9;649.7;560.3;660.9;1;1.0;180.0;200.0;200.0;200.0;180.0;960.0;G;E;E;B;4.0;J;A;E;D;B;A;B;B;B;A;C;A;A;D;A;B;E;A;D;B
8868;1247288;210052566044;M;3;2;0;2;1.0;0;2101202.0;Bacabal;MA;2.0;1.0;1.0;Bacabal;21;1;1;1;1;498.6;555.3;485.2;584.0;0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;H;C;F;F;2.0;B;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;C;A;B;B
8869;1247323;210054421516;F;1;2;0;2;1.0;0;2109106.0;Presidente Dutra;MA;2.0;1.0;1.0;Presidente Dutra;21;1;1;1;1;381.7;434.3;420.5;404.8;1;1.0;120.0;120.0;120.0;140.0;100.0;600.0;D;D;A;B;4.0;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
8870;1247360;210052878091;F;0;2;0;2;1.0;0;2105906.0;Lago Verde;MA;2.0;1.0;1.0;Bacabal;21;1;1;1;1;385.8;370.1;319.8;491.9;0;1.0;120.0;80.0;80.0;100.0;20.0;400.0;H;H;F;F;5.0;A;A;B;D;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A
8871;1247406;210051521545;F;1;2;0;2;1.0;0;2111300.0;SÃ£o LuÃ­s;MA;1.0;1.0;1.0;SÃ£o LuÃ­s;21;1;1;1;1;422.1;571.3;487.4;399.0;1;1.0;120.0;120.0;120.0;100.0;100.0;560.0;H;E;B;B;5.0;D;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A
8872;1247550;210052090967;M;1;2;0;3;1.0;0;2111300.0;SÃ£o LuÃ­s;MA;4.0;1.0;1.0;SÃ£o LuÃ­s;21;1;1;1;1;570.5;518.1;520.5;515.6;0;1.0;140.0;200.0;140.0;180.0;200.0;860.0;G;G;C;B;4.0;B;A;C;C;A;B;B;A;A;A;A;A;A;B;A;A;C;B;B;B
8873;1247645;210053006802;F;2;2;0;3;1.0;0;2111300.0;SÃ£o LuÃ­s;MA;4.0;1.0;1.0;SÃ£o LuÃ­s;21;1;1;1;1;443.0;403.4;338.3;437.2;0;1.0;100.0;180.0;120.0;120.0;100.0;620.0;E;F;F;F;3.0;F;A;D;D;A;A;B;B;A;A;B;A;A;C;A;A;D;A;B;B
8874;1247667;210053002861;M;3;2;0;2;1.0;0;2111300.0;SÃ£o LuÃ­s;MA;2.0;1.0;1.0;SÃ£o LuÃ­s;21;1;1;1;1;397.2;521.8;480.3;505.8;0;1.0;80.0;120.0;100.0;120.0;140.0;560.0;E;E;C;D;5.0;G;A;B;E;B;A;B;A;B;B;A;A;A;B;A;A;E;A;C;B
8875;1247848;210051625547;M;1;2;0;2;1.0;0;2111300.0;SÃ£o LuÃ­s;MA;1.0;1.0;1.0;SÃ£o LuÃ­s;21;1;1;1;1;515.3;511.9;554.3;587.8;0;1.0;140.0;200.0;160.0;80.0;180.0;760.0;E;E;C;D;4.0;F;D;C;D;B;A;B;A;A;A;B;A;A;B;A;A;C;A;A;B
8876;1247853;210051136476;F;3;2;0;2;1.0;0;2106805.0;Mirinzal;MA;2.0;1.0;4.0;Mirinzal;21;1;1;1;1;439.3;393.8;358.1;509.6;1;1.0;80.0;100.0;80.0;100.0;0.0;360.0;B;C;F;A;5.0;A;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;B;A;A;A
8877;1247855;210053085325;F;3;2;0;2;1.0;0;2112209.0;Timon;MA;3.0;1.0;1.0;Timon;21;1;1;1;1;354.7;440.5;373.0;393.9;1;1.0;60.0;120.0;80.0;80.0;0.0;340.0;B;B;C;B;6.0;B;A;B;D;A;A;B;A;A;A;A;A;A;B;A;A;D;A;A;A
8880;1248559;210051235035;F;3;2;0;2;1.0;0;2101400.0;Balsas;MA;2.0;1.0;1.0;Balsas;21;1;1;1;1;413.9;463.0;403.8;394.6;1;1.0;80.0;120.0;80.0;80.0;0.0;360.0;E;D;C;C;4.0;C;A;B;D;B;B;B;B;A;A;A;A;A;B;A;A;D;A;A;A
8882;1248726;210053674604;F;1;2;0;3;1.0;0;2111300.0;SÃ£o LuÃ­s;MA;4.0;1.0;1.0;SÃ£o LuÃ­s;21;1;1;1;1;625.9;660.3;631.0;710.3;0;1.0;180.0;200.0;180.0;180.0;200.0;940.0;F;F;D;D;3.0;J;A;B;C;B;A;B;A;B;A;B;B;B;B;A;A;D;B;D;B
8883;1248789;210051138084;F;3;2;0;2;1.0;0;2109106.0;Presidente Dutra;MA;2.0;1.0;1.0;Presidente Dutra;21;1;1;1;1;385.8;508.9;415.6;406.9;1;1.0;120.0;120.0;80.0;120.0;60.0;500.0;D;D;A;B;4.0;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
8884;1249233;210051024373;F;3;2;0;2;1.0;0;2111300.0;SÃ£o LuÃ­s;MA;2.0;1.0;1.0;SÃ£o LuÃ­s;21;1;1;1;1;515.7;558.2;539.4;437.0;0;1.0;140.0;120.0;120.0;140.0;80.0;600.0;E;E;B;B;2.0;C;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
8885;1249391;210052055209;M;1;2;0;3;1.0;0;2111300.0;SÃ£o LuÃ­s;MA;4.0;1.0;1.0;SÃ£o LuÃ­s;21;1;1;1;1;515.7;547.7;491.5;675.2;0;1.0;120.0;200.0;120.0;120.0;160.0;720.0;E;G;B;E;5.0;I;D;C;D;B;A;B;B;B;B;A;A;A;C;A;B;E;A;C;B
8886;1249500;210051655243;M;3;2;0;2;1.0;0;2101608.0;Barra do Corda;MA;2.0;1.0;1.0;Barra do Corda;21;1;1;1;1;489.4;463.1;489.6;402.8;0;1.0;160.0;200.0;180.0;200.0;180.0;920.0;B;G;A;D;3.0;F;A;C;D;C;B;B;A;A;A;A;A;A;B;A;A;D;A;B;B
8887;1249524;210053559706;F;0;2;0;2;1.0;0;2101400.0;Balsas;MA;2.0;1.0;1.0;Balsas;21;1;1;1;1;378.2;426.8;455.5;559.5;1;1.0;120.0;120.0;100.0;100.0;40.0;480.0;C;E;B;B;4.0;C;A;B;D;A;B;B;A;A;A;A;A;A;B;A;A;D;A;A;B
8888;1249671;210053552788;M;3;2;0;2;1.0;0;2111300.0;SÃ£o LuÃ­s;MA;2.0;1.0;1.0;SÃ£o LuÃ­s;21;1;1;1;1;351.5;513.0;485.6;492.9;1;1.0;120.0;120.0;120.0;120.0;100.0;580.0;H;E;F;B;6.0;D;A;D;E;B;A;C;C;B;B;A;A;A;D;A;A;E;A;A;B
