;Unnamed: 0;NU_INSCRICAO;TP_SEXO;TP_COR_RACA;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;NO_MUNICIPIO_PROVA;CO_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
13828;2759476;200004918839;M;3;2;0;2;1.0;0;2103000.0;Caxias;MA;2.0;2.0;1.0;Caxias;21;1;1;1;1;502.4;581.8;506.6;438.8;1;1.0;120.0;100.0;80.0;100.0;20.0;420.0;B;B;A;A;6.0;B;A;A;D;A;B;B;A;A;A;A;A;A;B;A;A;B;A;A;A
13829;2759509;200001161248;M;3;2;0;2;1.0;0;2111805.0;SÃ­tio Novo;MA;2.0;1.0;1.0;Montes Altos;21;1;1;1;1;395.9;537.1;484.4;415.5;1;1.0;120.0;120.0;120.0;80.0;120.0;560.0;B;C;C;C;4.0;B;A;B;C;A;C;B;A;A;A;A;A;A;B;B;A;D;A;A;B
13830;2759602;200003512919;F;1;2;0;3;1.0;0;2108603.0;Pinheiro;MA;4.0;1.0;1.0;Pinheiro;21;1;1;1;1;575.1;676.9;581.4;598.2;0;1.0;120.0;120.0;120.0;140.0;120.0;620.0;F;G;B;D;3.0;E;A;C;D;A;B;B;B;B;A;A;A;A;A;A;A;C;A;B;B
13832;2760301;200001465243;M;3;2;0;2;1.0;0;2105302.0;Imperatriz;MA;2.0;1.0;1.0;Imperatriz;21;1;1;1;1;528.9;518.8;505.6;616.9;1;1.0;120.0;140.0;140.0;120.0;100.0;620.0;E;F;C;F;4.0;C;A;B;C;B;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
13833;2760711;200003507092;M;3;2;0;2;1.0;0;2109106.0;Presidente Dutra;MA;2.0;1.0;1.0;Presidente Dutra;21;1;1;1;1;388.7;368.3;390.5;392.3;1;1.0;80.0;120.0;120.0;100.0;80.0;500.0;B;B;A;B;6.0;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
13836;2761001;200006439140;F;3;2;0;2;1.0;0;2112506.0;TutÃ³ia;MA;2.0;1.0;1.0;TutÃ³ia;21;1;1;1;1;433.1;525.1;579.5;493.3;1;1.0;160.0;120.0;160.0;180.0;160.0;780.0;E;E;D;D;4.0;D;A;B;C;A;A;B;B;A;A;A;A;A;B;A;A;C;A;A;A
13837;2761098;200001159226;F;3;2;0;2;1.0;0;2106375.0;MaranhÃ£ozinho;MA;2.0;1.0;1.0;Governador Nunes Freire;21;1;1;1;1;404.8;542.0;478.7;347.2;0;1.0;120.0;100.0;100.0;120.0;0.0;440.0;E;E;A;A;3.0;A;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;B;A;A;A
13838;2761444;200003899405;F;3;2;0;2;1.0;0;2100907.0;Araioses;MA;2.0;1.0;1.0;ParnaÃ­ba;22;1;1;1;1;423.2;514.2;438.3;498.1;1;1.0;60.0;120.0;80.0;100.0;60.0;420.0;B;C;A;A;5.0;A;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
13839;2761682;200006038162;F;3;2;0;2;1.0;0;2111748.0;Senador Alexandre Costa;MA;2.0;1.0;1.0;Caxias;21;1;1;1;1;468.8;424.4;446.7;390.5;1;3.0;0.0;0.0;0.0;0.0;0.0;0.0;A;A;A;A;7.0;B;A;B;D;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
13840;2762043;200006043618;M;1;2;0;3;1.0;0;2111300.0;SÃ£o LuÃ­s;MA;4.0;1.0;1.0;Bacabal;21;1;1;1;1;522.0;698.5;616.8;650.1;0;1.0;160.0;200.0;160.0;160.0;200.0;880.0;D;E;D;D;4.0;C;B;C;C;B;B;B;B;B;B;B;A;B;C;A;B;E;A;D;B
13841;2762063;200004288355;F;1;2;0;2;1.0;0;2112803.0;Viana;MA;2.0;1.0;1.0;Viana;21;1;1;1;1;486.8;407.2;527.5;459.0;1;1.0;160.0;140.0;140.0;180.0;100.0;720.0;E;F;B;B;4.0;B;A;D;C;A;B;B;A;A;A;A;A;A;B;A;A;C;A;A;A
13842;2762164;200002584156;M;1;2;0;2;1.0;0;2111300.0;SÃ£o LuÃ­s;MA;2.0;1.0;1.0;SÃ£o LuÃ­s;21;1;1;1;1;392.1;412.4;407.6;361.7;0;1.0;60.0;120.0;100.0;80.0;60.0;420.0;E;E;A;C;3.0;C;A;B;C;B;A;B;A;A;A;B;A;B;C;A;A;D;B;B;B
13843;2762414;200004447104;F;2;2;0;2;1.0;0;2106508.0;Matinha;MA;2.0;1.0;1.0;Matinha;21;1;1;1;1;452.8;504.0;503.0;522.7;1;1.0;120.0;120.0;100.0;120.0;0.0;460.0;D;F;C;D;3.0;B;A;B;D;A;B;B;A;A;A;A;A;A;B;A;A;B;A;A;B
13846;2763473;200004834391;F;2;2;0;2;1.0;0;2101400.0;Balsas;MA;2.0;1.0;1.0;Balsas;21;1;1;1;1;464.6;437.6;497.1;550.0;1;1.0;100.0;120.0;100.0;100.0;60.0;480.0;D;E;B;B;4.0;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
13848;2764228;200002335882;M;3;2;0;2;1.0;0;2111300.0;SÃ£o LuÃ­s;MA;2.0;1.0;1.0;SÃ£o LuÃ­s;21;1;1;1;1;561.5;550.7;523.6;520.5;0;1.0;120.0;180.0;120.0;120.0;160.0;700.0;F;F;B;B;3.0;C;A;B;C;A;A;B;B;A;A;A;A;A;B;A;A;D;A;A;B
13849;2764535;200006253122;F;3;2;0;3;1.0;0;2111300.0;SÃ£o LuÃ­s;MA;4.0;1.0;1.0;SÃ£o LuÃ­s;21;1;1;1;1;459.7;471.8;543.2;518.4;1;1.0;120.0;160.0;120.0;120.0;100.0;620.0;B;E;B;B;4.0;B;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;C;A;A;A
13851;2765162;200006584042;F;0;2;0;2;1.0;0;2106326.0;MaracaÃ§umÃ©;MA;2.0;1.0;1.0;MaracaÃ§umÃ©;21;1;1;1;1;426.5;485.2;475.7;463.8;0;1.0;100.0;40.0;40.0;80.0;20.0;280.0;B;E;C;C;5.0;B;A;B;C;A;A;B;A;B;A;A;A;A;B;B;A;C;A;A;A
