;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
629;Nao_branca;Fundamental;0;E
630;Branca;Medio;1;E
632;Branca;Fundamental;1;D
635;Branca;Fundamental;0;E
636;Branca;Superior;1;C
638;Branca;Fundamental;0;E
639;Nao declarado;Medio;2;D
641;Nao_branca;Fundamental;0;E
642;Branca;Superior;1;E
643;Branca;Fundamental;1;D
646;Branca;Medio;1;D
647;Nao_branca;Fundamental;0;C
648;Nao_branca;Superior;0;D
649;Branca;Medio;1;D
650;Branca;Fundamental;1;E
652;Nao_branca;Medio;1;D
653;Nao_branca;Fundamental;1;E
654;Nao_branca;Medio;1;E
655;Nao_branca;Fundamental;0;E
656;Nao_branca;Superior;1;E
658;Nao_branca;Fundamental;0;E
659;Branca;Superior;1;D
660;Branca;Medio;1;E
661;Nao_branca;Medio;1;D
662;Branca;Medio;1;E
665;Branca;Fundamental;0;E
666;Branca;Superior;1;C
669;Nao declarado;Superior;1;C
671;Nao_branca;Fundamental;1;E
672;Branca;Fundamental;0;E
673;Branca;Fundamental;1;E
675;Nao_branca;Medio;1;E
677;Nao_branca;Medio;1;D
682;Branca;Fundamental;1;E
683;Nao_branca;Fundamental;0;E
686;Nao_branca;Fundamental;0;E
688;Nao_branca;Medio;1;E
690;Nao_branca;Fundamental;0;E
691;Branca;Medio;0;E
692;Nao_branca;Medio;1;E
695;Branca;Fundamental;1;E
697;Nao_branca;Superior;0;D
698;Branca;Superior;2;C
701;Branca;Fundamental;0;E
702;Branca;Medio;1;E
703;Branca;Superior;1;D
705;Nao_branca;Medio;1;E
708;Branca;Fundamental;1;E
709;Nao_branca;Superior;1;D
713;Nao_branca;Superior;1;E
714;Nao_branca;Medio;1;D
718;Branca;Medio;0;D
719;Nao_branca;Fundamental;0;E
720;Nao declarado;Medio;1;E
722;Nao_branca;Fundamental;0;E
723;Nao_branca;Fundamental;0;E
724;Branca;Fundamental;0;D
725;Nao_branca;Medio;2;E
728;Nao_branca;Medio;0;D
731;Branca;Fundamental;0;E
735;Branca;Superior;2;B
739;Branca;Fundamental;0;E
740;Nao_branca;Fundamental;1;E
741;Nao_branca;Medio;0;E
742;Branca;Medio;3;E
743;Branca;Fundamental;1;D
744;Nao_branca;Fundamental;1;E
745;Branca;Medio;1;E
746;Nao_branca;Medio;0;A
749;Nao_branca;Medio;0;E
751;Nao_branca;Medio;0;E
752;Nao_branca;Medio;0;E
753;Nao_branca;Superior;1;D
755;Nao_branca;Fundamental;0;E
758;Nao_branca;Medio;1;D
