;Cluster_menor;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
525;C3;Nao_branca;Fundamental;1;E1
526;C1;Branca;Fundamental;1;E1
527;C3;Branca;Fundamental;0;E1
528;C2;Branca;Superior;1;D1
529;C3;Nao_branca;Medio;0;E1
530;C1;Nao_branca;Medio;1;C1
531;C2;Nao_branca;Superior;1;C1
532;C3;Nao_branca;Fundamental;0;E1
534;C1;Branca;Fundamental;1;E1
535;C3;Branca;Fundamental;0;D1
536;C3;Nao_branca;Fundamental;1;E1
537;C3;Nao_branca;Fundamental;1;E1
538;C3;Nao_branca;Fundamental;0;E1
539;C3;Nao_branca;Medio;0;E1
540;C1;Branca;Fundamental;1;E1
541;C2;Nao_branca;Medio;0;D1
543;C2;Nao_branca;Medio;0;D1
545;C1;Branca;Medio;1;E1
546;C1;Branca;Superior;1;C1
547;C3;Nao_branca;Fundamental;1;E1
548;C3;Nao_branca;Fundamental;1;E1
549;C3;Nao_branca;Medio;0;E1
550;C1;Branca;Superior;1;E1
551;C1;Nao_branca;Medio;1;E1
553;C3;Nao_branca;Fundamental;0;E1
556;C1;Branca;Fundamental;1;E1
557;C1;Nao_branca;Medio;1;E1
558;C2;Nao_branca;Superior;1;E1
559;C1;Branca;Medio;3;E1
564;C3;Nao_branca;Fundamental;0;D1
565;C1;Branca;Superior;1;C1
566;C3;Branca;Fundamental;0;E1
569;C3;Branca;Fundamental;0;E1
570;C3;Nao_branca;Fundamental;0;D1
571;C3;Nao_branca;Medio;0;E1
572;C3;Nao_branca;Superior;0;E1
574;C1;Branca;Superior;1;E1
575;C1;Nao_branca;Medio;2;E1
576;C3;Nao_branca;Fundamental;1;E1
577;C2;Nao_branca;Medio;1;D1
578;C2;Nao_branca;Medio;1;D1
579;C1;Nao_branca;Medio;1;E1
580;C3;Nao_branca;Fundamental;1;E1
581;C3;Nao_branca;Fundamental;0;E1
583;C3;Nao_branca;Medio;0;E1
585;C1;Branca;Medio;1;E1
586;C3;Nao_branca;Superior;0;E1
587;C1;Branca;Superior;3;C1
588;C3;Nao_branca;Superior;0;E1
590;C2;Nao_branca;Fundamental;1;D1
592;C3;Nao_branca;Fundamental;0;E1
594;C1;Nao_branca;Medio;1;E1
596;C3;Nao_branca;Superior;0;E1
597;C1;Branca;Medio;1;E1
599;C2;Nao_branca;Medio;1;D1
600;C1;Branca;Fundamental;1;D1
602;C1;Branca;Superior;1;E1
604;C2;Nao_branca;Superior;1;E1
606;C3;Nao_branca;Medio;0;E1
607;C2;Nao_branca;Fundamental;1;C1
608;C1;Branca;Fundamental;1;E1
610;C1;Branca;Fundamental;1;D1
611;C2;Nao_branca;Superior;1;C1
612;C1;Nao_branca;Medio;1;E1
613;C3;Nao_branca;Fundamental;0;E1
614;C1;Branca;Fundamental;1;E1
615;C1;Branca;Fundamental;1;E1
617;C3;Branca;Fundamental;0;E1
618;C1;Branca;Fundamental;1;E1
620;C2;Nao_branca;Fundamental;1;D1
621;C1;Branca;Medio;1;D1
622;C1;Branca;Fundamental;1;D1
624;C2;Nao_branca;Superior;1;D1
626;C3;Nao_branca;Fundamental;1;E1
627;C1;Branca;Medio;1;E1
628;C2;Nao_branca;Medio;1;D1
629;C1;Branca;Medio;1;D1
630;C1;Branca;Medio;0;E1
631;C2;Nao_branca;Medio;1;D1
632;C1;Nao_branca;Medio;1;E1
634;C2;Nao_branca;Medio;1;D1
635;C1;Branca;Medio;2;D1
637;C1;Branca;Fundamental;3;E1
638;C3;Nao_branca;Fundamental;0;D1
641;C1;Nao_branca;Medio;1;E1
642;C2;Branca;Superior;1;D1
644;C2;Nao_branca;Superior;1;C1
645;C3;Branca;Fundamental;0;E1
646;C1;Branca;Fundamental;1;E1
648;C3;Nao_branca;Fundamental;0;E1
649;C1;Branca;Fundamental;1;E1
650;C3;Nao_branca;Fundamental;0;E1
651;C1;Nao_branca;Medio;1;E1
652;C3;Branca;Fundamental;0;E1
653;C3;Nao_branca;Fundamental;0;E1
654;C2;Nao_branca;Fundamental;1;D1
655;C2;Nao_branca;Medio;1;D1
656;C3;Nao_branca;Fundamental;0;E1
657;C3;Nao_branca;Fundamental;0;E1
658;C1;Branca;Fundamental;1;D1
659;C3;Nao_branca;Fundamental;1;E1
662;C2;Nao_branca;Medio;1;D1
663;C2;Branca;Superior;1;D1
664;C3;Nao_branca;Fundamental;0;E1
665;C1;Branca;Fundamental;1;D1
666;C1;Nao_branca;Medio;2;C1
667;C3;Nao_branca;NuncaEstudou;0;E1
668;C3;Nao_branca;Medio;0;E1
669;C3;Nao_branca;Fundamental;0;E1
670;C3;Nao_branca;Medio;0;E1
671;C3;Nao_branca;Fundamental;1;E1
672;C1;Branca;Fundamental;1;C1
673;C1;Branca;Superior;1;E1
674;C1;Nao_branca;Medio;1;E1
678;C3;Nao_branca;Superior;0;E1
680;C3;Nao_branca;Fundamental;1;E1
681;C1;Branca;Medio;0;E1
