TP_SEXO;TP_COR_RACA;IN_TREINEIRO;CO_ESCOLA;NO_MUNICIPIO_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;NU_NOTA_REDACAO;nivelEstudoMae;QTD_PESSOAS_CASA;RendaMaxima;POSSUI_CELULAR;POSSUI_PC;POSSUI_INTERNET;mediaNota
Masculino;Parda;0;31069027.0;Lima Duarte;Estadual;Rural;0;0;0;0;;;;;Inglês;;FundamentalIncompleto;2;E1;Nao;Nao;Sim;
Masculino;Preta;0;31069027.0;Lima Duarte;Estadual;Rural;0;1;1;0;;416.2;396.7;;Espanhol;0.0;Superior;3;E1;Sim;Nao;Sim;
Feminino;Parda;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;537.9;425.4;467.4;483.3;Inglês;600.0;FundamentalIncompleto;5;E1;Nao;Nao;Não;502.8
Feminino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;529.6;547.0;580.9;414.5;Inglês;760.0;NuncaEstudou;3;E1;Nao;Nao;Não;566.4
Feminino;Parda;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;425.5;447.2;492.3;415.5;Inglês;500.0;FundamentalIncompleto;4;E1;Nao;Nao;Não;456.1
Feminino;Preta;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;365.0;420.3;416.4;402.9;Inglês;200.0;FundamentalIncompleto;6;E1;Nao;Nao;Não;360.91999999999996
Masculino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;0;0;0;0;;;;;Inglês;;FundamentalIncompleto;5;E1;Sim;Nao;Não;
Masculino;Parda;0;31069019.0;Lima Duarte;Estadual;Urbano;0;1;1;0;;490.8;462.0;;Inglês;400.0;FundamentalIncompleto;5;E1;Nao;Nao;Não;
Masculino;Branca;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;393.0;446.6;419.4;484.0;Inglês;320.0;FundamentalIncompleto;2;E1;Sim;Sim;Não;412.6
Feminino;Branca;0;31069094.0;Lima Duarte;Estadual;Urbano;0;0;0;0;;;;;Espanhol;;FundamentalIncompleto;6;E1;Sim;Nao;Sim;
Feminino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;403.3;487.5;506.5;416.9;Espanhol;540.0;FundamentalIncompleto;3;E1;Sim;Nao;Sim;470.84
Feminino;Parda;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;371.7;395.7;427.6;382.7;Inglês;360.0;FundamentalIncompleto;4;E1;Sim;Nao;Sim;387.54
Feminino;Parda;0;31069027.0;Lima Duarte;Estadual;Rural;1;1;1;1;354.7;379.9;450.2;405.6;Espanhol;280.0;Medio;5;C1;Sim;Sim;Sim;374.08000000000004
Feminino;Parda;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;436.5;537.7;538.5;468.3;Inglês;480.0;Medio;4;D1;Sim;Nao;Não;492.2
Masculino;Branca;0;31304981.0;Lima Duarte;Privada;Urbano;1;1;1;1;448.7;454.6;511.6;672.4;Inglês;640.0;Superior;3;C1;Sim;Nao;Não;545.46
Masculino;Parda;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;496.4;362.4;493.3;517.2;Inglês;0.0;Medio;4;E1;Sim;Nao;Não;373.86
Masculino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;456.8;382.5;370.6;398.1;Espanhol;420.0;Superior;4;E1;Sim;Sim;Sim;405.6
Feminino;Branca;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;509.4;543.6;583.7;566.5;Inglês;600.0;Medio;4;E1;Sim;Sim;Sim;560.64
Masculino;Branca;0;31304981.0;Lima Duarte;Privada;Urbano;1;1;1;1;504.3;571.4;488.5;625.9;Inglês;640.0;Superior;3;D1;Sim;Sim;Sim;566.02
Masculino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;399.5;414.3;451.0;521.5;Espanhol;240.0;FundamentalIncompleto;2;E1;Sim;Nao;Sim;405.26
Feminino;Parda;0;31069027.0;Lima Duarte;Estadual;Rural;0;0;0;0;;;;;Inglês;;FundamentalIncompleto;6;E1;Sim;Sim;Sim;
Feminino;Branca;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;429.8;516.5;494.9;496.3;Espanhol;340.0;Superior;6;E1;Sim;Sim;Não;455.5
Masculino;Branca;0;31069027.0;Lima Duarte;Estadual;Rural;0;0;0;0;;;;;Inglês;;Medio;7;E1;Sim;Sim;Sim;
Masculino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;452.1;515.8;507.4;629.9;Inglês;360.0;FundamentalCompleto;5;D1;Sim;Sim;Sim;493.03999999999996
Feminino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;0;0;0;0;;;;;Espanhol;;Superior;5;D1;Sim;Sim;Sim;
Masculino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;549.4;570.3;567.9;679.9;Inglês;620.0;Superior;2;E1;Sim;Sim;Sim;597.5
Feminino;Parda;0;31069019.0;Lima Duarte;Estadual;Urbano;0;0;0;0;;;;;Espanhol;;Superior;6;E1;Sim;Nao;Sim;
Feminino;Parda;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;460.2;587.9;571.0;583.2;Inglês;540.0;FundamentalIncompleto;3;E1;Sim;Nao;Sim;548.46
Masculino;Branca;0;31304981.0;Lima Duarte;Privada;Urbano;1;1;1;1;573.2;583.3;563.0;656.4;Inglês;680.0;Medio;3;D1;Sim;Sim;Sim;611.1800000000001
Masculino;Branca;0;31069027.0;Lima Duarte;Estadual;Rural;1;1;1;1;350.9;445.7;493.7;514.7;Espanhol;440.0;Medio;3;E1;Sim;Sim;Sim;449.0
Masculino;Parda;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;472.7;491.4;503.2;519.8;Inglês;580.0;Medio;3;E1;Sim;Sim;Sim;513.42
Masculino;Parda;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;401.1;483.4;499.5;464.9;Inglês;580.0;FundamentalIncompleto;3;D1;Sim;Nao;Sim;485.78000000000003
Feminino;Branca;0;31069094.0;Lima Duarte;Estadual;Urbano;0;0;0;0;;;;;Espanhol;;FundamentalIncompleto;3;E1;Sim;Sim;Sim;
Feminino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;444.8;482.9;529.3;422.0;Inglês;480.0;Superior;5;E1;Sim;Nao;Sim;471.8
Feminino;Parda;0;31069094.0;Lima Duarte;Estadual;Urbano;0;0;0;0;;;;;Espanhol;;FundamentalIncompleto;4;E1;Sim;Sim;Sim;
